step,sim_time,action,phase_name,fsm_state,grp_queue_NS_through,grp_queue_NS_right,grp_queue_NS_left,grp_queue_EW_through,grp_queue_EW_right,grp_queue_EW_left,grp_mean_wait_NS_through,grp_mean_wait_NS_right,grp_mean_wait_NS_left,grp_mean_wait_EW_through,grp_mean_wait_EW_right,grp_mean_wait_EW_left,ped_queue:-E0_0,ped_queue:-E2_0,ped_queue:-E1_0,ped_queue:-E3_0,ped_max_wait:-E0_0,ped_max_wait:-E2_0,ped_max_wait:-E1_0,ped_max_wait:-E3_0,green_onehot_0,green_onehot_1,green_onehot_2,green_onehot_3,transition_remaining,min_green_reached,elapsed_green_time,max_vehicle_wait_time,pressure_NS,pressure_EW,ped_dir_count:-E0->E1,ped_dir_count:-E0->E2,ped_dir_count:-E2->E3,ped_dir_count:-E2->E0,ped_dir_count:-E1->E2,ped_dir_count:-E1->E3,ped_dir_count:-E3->E0,ped_dir_count:-E3->E1,ped_dir_max_wait:-E0->E1,ped_dir_max_wait:-E0->E2,ped_dir_max_wait:-E2->E3,ped_dir_max_wait:-E2->E0,ped_dir_max_wait:-E1->E2,ped_dir_max_wait:-E1->E3,ped_dir_max_wait:-E3->E0,ped_dir_max_wait:-E3->E1,ped_dir_vulnerable_frac:-E0->E1,ped_dir_vulnerable_frac:-E0->E2,ped_dir_vulnerable_frac:-E2->E3,ped_dir_vulnerable_frac:-E2->E0,ped_dir_vulnerable_frac:-E1->E2,ped_dir_vulnerable_frac:-E1->E3,ped_dir_vulnerable_frac:-E3->E0,ped_dir_vulnerable_frac:-E3->E1
1,30001.0,0,EW_MAIN,IDLE,15.0,14.0,3.0,24.0,26.0,40.0,11.066666603088379,11.285714149475098,80.66666412353516,75.25,75.53845977783203,45.04999923706055,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,122.0,32.0,90.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0
2,30002.0,2,EW_MAIN,IDLE,14.0,14.0,3.0,22.0,27.0,40.0,12.714285850524902,13.076923370361328,81.66666412353516,82.2272720336914,75.92308044433594,46.04999923706055,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,123.0,31.0,89.0,4.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1428571492433548,0.0,0.0,0.0,0.0,0.0,0.0
3,30003.0,0,EW_MAIN,IDLE,14.0,15.0,3.0,24.0,25.0,40.0,13.714285850524902,12.333333015441895,82.66666412353516,76.375,79.44000244140625,47.04999923706055,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,124.0,32.0,89.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
4,30004.0,3,EW_MAIN,IDLE,15.0,16.0,3.0,21.0,24.0,40.0,13.800000190734863,12.5625,83.66666412353516,88.0,83.66666412353516,48.04999923706055,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,125.0,34.0,85.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
5,30005.0,2,EW_MAIN,IDLE,16.0,15.0,3.0,21.0,26.0,40.0,13.9375,14.333333015441895,84.66666412353516,89.0,77.84615325927734,49.04999923706055,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,126.0,34.0,87.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
6,30006.0,0,EW_MAIN,IDLE,16.0,17.0,3.0,21.0,25.0,40.0,14.9375,14.4375,85.66666412353516,90.0,81.83999633789062,50.04999923706055,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,127.0,36.0,86.0,4.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
7,30007.0,0,EW_MAIN,IDLE,16.0,16.0,3.0,21.0,25.0,40.0,15.9375,15.4375,86.66666412353516,91.0,82.76000213623047,51.04999923706055,13.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,128.0,35.0,86.0,4.0,9.0,0.0,2.0,0.0,1.0,0.0,1.0,6.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.1111111119389534,0.0,0.0,0.0,0.0,0.0,0.0
8,30008.0,3,EW_MAIN,IDLE,16.0,18.0,3.0,21.0,26.0,40.0,16.9375,14.722222328186035,87.66666412353516,92.0,80.5,52.04999923706055,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,129.0,37.0,87.0,4.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
9,30009.0,2,EW_MAIN,IDLE,17.0,18.0,3.0,21.0,24.0,40.0,16.941177368164062,16.52941131591797,88.66666412353516,93.0,91.73912811279297,53.04999923706055,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,130.0,38.0,85.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
10,30010.0,2,EW_MAIN,IDLE,18.0,18.0,3.0,21.0,22.0,40.0,17.0,16.61111068725586,89.66666412353516,94.0,96.81818389892578,54.04999923706055,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,131.0,39.0,83.0,4.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
