step,sim_time,action,phase_name,fsm_state,grp_vol_NS_through,grp_vol_NS_right,grp_vol_NS_left,grp_vol_EW_through,grp_vol_EW_right,grp_vol_EW_left,grp_queue_NS_through,grp_queue_NS_right,grp_queue_NS_left,grp_queue_EW_through,grp_queue_EW_right,grp_queue_EW_left,ped_wait:-E0_0,ped_wait:-E2_0,ped_wait:-E1_0,ped_wait:-E3_0,green_onehot_0,green_onehot_1,green_onehot_2,green_onehot_3,transition_remaining,min_green_reached,elapsed_green_time,max_vehicle_wait_time,pressure_NS,pressure_EW,ped_dir_count:-E0->E1,ped_dir_count:-E0->E2,ped_dir_count:-E2->E3,ped_dir_count:-E2->E0,ped_dir_count:-E1->E2,ped_dir_count:-E1->E3,ped_dir_count:-E3->E0,ped_dir_count:-E3->E1,ped_dir_max_wait:-E0->E1,ped_dir_max_wait:-E0->E2,ped_dir_max_wait:-E2->E3,ped_dir_max_wait:-E2->E0,ped_dir_max_wait:-E1->E2,ped_dir_max_wait:-E1->E3,ped_dir_max_wait:-E3->E0,ped_dir_max_wait:-E3->E1,ped_dir_vulnerable_frac:-E0->E1,ped_dir_vulnerable_frac:-E0->E2,ped_dir_vulnerable_frac:-E2->E3,ped_dir_vulnerable_frac:-E2->E0,ped_dir_vulnerable_frac:-E1->E2,ped_dir_vulnerable_frac:-E1->E3,ped_dir_vulnerable_frac:-E3->E0,ped_dir_vulnerable_frac:-E3->E1,ped_dir_longwait_frac:-E0->E1,ped_dir_longwait_frac:-E0->E2,ped_dir_longwait_frac:-E2->E3,ped_dir_longwait_frac:-E2->E0,ped_dir_longwait_frac:-E1->E2,ped_dir_longwait_frac:-E1->E3,ped_dir_longwait_frac:-E3->E0,ped_dir_longwait_frac:-E3->E1
1,30001.0,0,EW_MAIN,IDLE,21.0,20.0,3.0,33.0,35.0,40.0,15.0,14.0,3.0,24.0,26.0,40.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,122.0,32.0,90.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,30002.0,2,EW_MAIN,IDLE,21.0,21.0,3.0,33.0,36.0,40.0,14.0,14.0,3.0,22.0,27.0,40.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,123.0,31.0,89.0,4.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1428571492433548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,30003.0,0,EW_MAIN,IDLE,20.0,21.0,4.0,32.0,36.0,40.0,14.0,15.0,3.0,24.0,25.0,40.0,13.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,124.0,32.0,89.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,30004.0,3,EW_MAIN,IDLE,20.0,21.0,4.0,32.0,36.0,40.0,15.0,16.0,3.0,21.0,24.0,40.0,13.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,125.0,34.0,85.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,30005.0,2,EW_MAIN,IDLE,20.0,21.0,4.0,32.0,35.0,40.0,16.0,15.0,3.0,21.0,26.0,40.0,13.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,126.0,34.0,87.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,30006.0,0,13,YELLOW,20.0,22.0,4.0,32.0,35.0,40.0,16.0,17.0,3.0,21.0,25.0,40.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,5.0,127.0,36.0,86.0,4.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,30007.0,0,13,YELLOW,20.0,22.0,4.0,32.0,35.0,40.0,16.0,16.0,3.0,22.0,25.0,40.0,13.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,5.0,128.0,35.0,87.0,4.0,9.0,0.0,2.0,0.0,1.0,0.0,1.0,6.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.1111111119389534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,30008.0,3,13,YELLOW,20.0,22.0,4.0,32.0,35.0,40.0,16.0,18.0,3.0,21.0,26.0,40.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,129.0,37.0,87.0,4.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,30009.0,2,0,REDYELLOW,20.0,23.0,4.0,33.0,35.0,40.0,17.0,18.0,3.0,22.0,25.0,40.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,130.0,38.0,87.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,30010.0,2,NS_MAIN,IDLE,20.0,23.0,4.0,33.0,35.0,40.0,18.0,18.0,3.0,24.0,23.0,40.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,39.0,87.0,4.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,30011.0,0,NS_MAIN,IDLE,18.0,23.0,4.0,33.0,35.0,40.0,16.0,18.0,3.0,23.0,22.0,40.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,132.0,37.0,85.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0
12,30012.0,1,NS_MAIN,IDLE,18.0,22.0,4.0,33.0,35.0,40.0,15.0,16.0,3.0,24.0,24.0,40.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,133.0,34.0,88.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000298023224,0.75,0.0,0.0,0.0,0.0,0.0,0.0
13,30013.0,1,NS_MAIN,IDLE,19.0,21.0,4.0,33.0,35.0,40.0,14.0,17.0,3.0,23.0,25.0,40.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,134.0,34.0,88.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000298023224,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,30014.0,2,NS_MAIN,IDLE,18.0,22.0,4.0,33.0,35.0,40.0,12.0,18.0,3.0,24.0,23.0,40.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,135.0,33.0,87.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666716337204,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,30015.0,2,NS_MAIN,IDLE,18.0,21.0,4.0,33.0,35.0,40.0,12.0,18.0,3.0,25.0,24.0,40.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,136.0,33.0,89.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666716337204,1.0,0.0,0.0,0.0,0.0,0.0,0.0
