step,sim_time,action,phase_name,fsm_state,grp_queue_NS_through,grp_queue_NS_right,grp_queue_NS_left,grp_queue_EW_through,grp_queue_EW_right,grp_queue_EW_left,grp_mean_wait_NS_through,grp_mean_wait_NS_right,grp_mean_wait_NS_left,grp_mean_wait_EW_through,grp_mean_wait_EW_right,grp_mean_wait_EW_left,ped_queue:-E0_0,ped_queue:-E2_0,ped_queue:-E1_0,ped_queue:-E3_0,ped_max_wait:-E0_0,ped_max_wait:-E2_0,ped_max_wait:-E1_0,ped_max_wait:-E3_0,green_onehot_0,green_onehot_1,green_onehot_2,green_onehot_3,transition_remaining,min_green_reached,elapsed_green_time,max_vehicle_wait_time,pressure_NS,pressure_EW,ped_dir_count:-E0->E1,ped_dir_count:-E0->E2,ped_dir_count:-E2->E3,ped_dir_count:-E2->E0,ped_dir_count:-E1->E2,ped_dir_count:-E1->E3,ped_dir_count:-E3->E0,ped_dir_count:-E3->E1,ped_dir_max_wait:-E0->E1,ped_dir_max_wait:-E0->E2,ped_dir_max_wait:-E2->E3,ped_dir_max_wait:-E2->E0,ped_dir_max_wait:-E1->E2,ped_dir_max_wait:-E1->E3,ped_dir_max_wait:-E3->E0,ped_dir_max_wait:-E3->E1,ped_dir_vulnerable_frac:-E0->E1,ped_dir_vulnerable_frac:-E0->E2,ped_dir_vulnerable_frac:-E2->E3,ped_dir_vulnerable_frac:-E2->E0,ped_dir_vulnerable_frac:-E1->E2,ped_dir_vulnerable_frac:-E1->E3,ped_dir_vulnerable_frac:-E3->E0,ped_dir_vulnerable_frac:-E3->E1
1,30001.0,0,EW_MAIN,IDLE,15.0,14.0,3.0,24.0,26.0,40.0,11.066666603088379,11.285714149475098,80.66666412353516,75.25,75.53845977783203,45.04999923706055,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,122.0,32.0,90.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0
2,30002.0,2,EW_MAIN,IDLE,14.0,14.0,3.0,22.0,27.0,40.0,12.714285850524902,13.076923370361328,81.66666412353516,82.2272720336914,75.92308044433594,46.04999923706055,11.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,123.0,31.0,89.0,4.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1428571492433548,0.0,0.0,0.0,0.0,0.0,0.0
3,30003.0,0,13,YELLOW,14.0,15.0,3.0,24.0,25.0,40.0,13.714285850524902,12.333333015441895,82.66666412353516,76.375,79.44000244140625,47.04999923706055,13.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,124.0,32.0,89.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
4,30004.0,3,0,REDYELLOW,15.0,16.0,3.0,22.0,24.0,40.0,13.800000190734863,12.5625,83.66666412353516,84.2272720336914,83.66666412353516,48.04999923706055,12.0,1.0,1.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,125.0,34.0,86.0,4.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
5,30005.0,2,NS_MAIN,IDLE,16.0,15.0,3.0,21.0,26.0,40.0,13.9375,14.333333015441895,84.66666412353516,89.0,77.84615325927734,49.04999923706055,13.0,1.0,1.0,0.0,5.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,126.0,34.0,87.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
6,30006.0,0,NS_MAIN,IDLE,15.0,17.0,3.0,21.0,25.0,40.0,13.133333206176758,14.4375,85.66666412353516,90.0,81.83999633789062,50.04999923706055,10.0,0.0,1.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,127.0,35.0,86.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,30007.0,0,NS_MAIN,IDLE,14.0,16.0,3.0,22.0,26.0,40.0,13.285714149475098,15.4375,86.66666412353516,86.90908813476562,79.57691955566406,51.04999923706055,9.0,1.0,2.0,1.0,7.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,128.0,33.0,88.0,4.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,30008.0,3,6,YELLOW,13.0,18.0,3.0,24.0,25.0,40.0,14.692307472229004,14.722222328186035,87.66666412353516,80.66666412353516,83.5999984741211,52.04999923706055,8.0,0.0,1.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,129.0,34.0,89.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,30009.0,2,17,REDYELLOW,14.0,18.0,3.0,22.0,26.0,40.0,14.642857551574707,16.52941131591797,88.66666412353516,88.90908813476562,84.55999755859375,53.04999923706055,9.0,0.0,1.0,0.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,130.0,35.0,88.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,30010.0,2,EW_LEFT,IDLE,15.0,18.0,3.0,24.0,23.0,40.0,14.666666984558105,16.61111068725586,89.66666412353516,82.5,92.78260803222656,54.04999923706055,7.0,0.0,1.0,0.0,10.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,131.0,36.0,87.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
